Herb,Phytochemical Associations
terminalia chebula,"Terminalia chebula | bark | IMPHY001187 | [(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (4aS,6aR,6aS,6bR,8R,8aR,9S,10R,11R,12aR,14bS)-8,10,11-trihydroxy-9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate || Terminalia chebula | bark | IMPHY003139 | Terchebin || Terminalia chebula | bark | IMPHY004631 | Stearic acid || Terminalia chebula | bark | IMPHY007327 | Palmitic acid || Terminalia chebula | bark | IMPHY011394 | Arachidic acid || Terminalia chebula | bark | IMPHY011627 | Arjunolic acid || Terminalia chebula | bark | IMPHY011797 | Oleic acid || Terminalia chebula | bark | IMPHY012021 | Gallic acid || Terminalia chebula | bark | IMPHY014990 | Linoleic acid || Terminalia chebula | fruit | IMPHY000601 | Triacontanoic acid || Terminalia chebula | fruit | IMPHY000687 | Syringic acid || Terminalia chebula | fruit | IMPHY002419 | Ellagitannin || Terminalia chebula | fruit | IMPHY004799 | Chebulagic acid || Terminalia chebula | fruit | IMPHY005412 | (12R,15R,32S,33R)-4,5,6,14,20,21,22,25,26,27,38,39,40,43,44,55-hexadecahydroxy-2,10,13,16,31,34,46,53-octaoxaundecacyclo[46.7.1.03,8.012,33.015,32.018,23.024,29.036,41.042,51.045,50.049,54]hexapentaconta-1(55),3,5,7,18,20,22,24,26,28,36,38,40,42,44,48(56),49(54),50-octadecaene-9,17,30,35,47,52-hexone || Terminalia chebula | fruit | IMPHY005537 | Ellagic acid || Terminalia chebula | fruit | IMPHY006362 | Ascorbic acid || Terminalia chebula | fruit | IMPHY006904 | Punicalagin || Terminalia chebula | fruit | IMPHY006945 | Shikimic acid || Terminalia chebula | fruit | IMPHY007084 | Vanillic acid || Terminalia chebula | fruit | IMPHY007192 | Anthraquinone || Terminalia chebula | fruit | IMPHY007212 | Docosanoic acid || Terminalia chebula | fruit | IMPHY009606 | Ethyl gallate || Terminalia chebula | fruit | IMPHY010827 | Chebulinic acid || Terminalia chebula | fruit | IMPHY010998 | Chebulic acid || Terminalia chebula | fruit | IMPHY011741 | Tannic acid || Terminalia chebula | fruit | IMPHY011802 | Ferulic acid || Terminalia chebula | fruit | IMPHY011933 | Caffeic acid || Terminalia chebula | fruit | IMPHY011970 | Maslinic acid || Terminalia chebula | fruit | IMPHY011974 | 4-Hydroxycinnamic acid || Terminalia chebula | fruit | IMPHY012650 | Arjungenin || Terminalia chebula | fruit | IMPHY014353 | terflavin A || Terminalia chebula | fruit | IMPHY014693 | Sennoside A || Terminalia chebula | fruit | IMPHY014836 | beta-Sitosterol || Terminalia chebula | fruit | IMPHY014838 | Daucosterol || Terminalia chebula | leaf | IMPHY002055 | Celastrol || Terminalia chebula | leaf | IMPHY006612 | Corosolic acid || Terminalia chebula | leaf | IMPHY006864 | Punicalin || Terminalia chebula | leaf | IMPHY010880 | Terflavin C || Terminalia chebula | leaf | IMPHY010881 | Terflavin D || Terminalia chebula | leaf | IMPHY013245 | Terflavin B || Terminalia chebula | seed | IMPHY000060 | Myristic acid || Terminalia chebula | seed | IMPHY006466 | Ricinoleic acid || Terminalia chebula | seed | IMPHY011666 | Palmitoleic acid || Terminalia chebula |  | IMPHY000103 | Pyrogallol || Terminalia chebula |  | IMPHY000783 | 1,3,6-tri-O-galloyl-beta-D-glucose || Terminalia chebula |  | IMPHY002259 | Bellericoside || Terminalia chebula |  | IMPHY002588 | Flavylium || Terminalia chebula |  | IMPHY003265 | Phloroglucinol || Terminalia chebula |  | IMPHY006658 | Pentagalloylglucose || Terminalia chebula |  | IMPHY010070 | beta-Glucogallin || Terminalia chebula |  | IMPHY013222 | arjunglucoside I"
ocimum sanctum,"Ocimum tenuiflorum | aerial part | IMPHY000099 | Myrtenol || Ocimum tenuiflorum | aerial part | IMPHY000112 | Isophytol || Ocimum tenuiflorum | aerial part | IMPHY000302 | Maalialcohol || Ocimum tenuiflorum | aerial part | IMPHY000399 | beta-Bisabolene || Ocimum tenuiflorum | aerial part | IMPHY000795 | Octanal || Ocimum tenuiflorum | aerial part | IMPHY001828 | 3-Octanol || Ocimum tenuiflorum | aerial part | IMPHY001896 | Heptacosane || Ocimum tenuiflorum | aerial part | IMPHY002825 | 2-(4-Methylphenyl)propan-2-ol || Ocimum tenuiflorum | aerial part | IMPHY002874 | beta-Vetivenene || Ocimum tenuiflorum | aerial part | IMPHY002915 | Benzyl Alcohol || Ocimum tenuiflorum | aerial part | IMPHY003179 | 3-Octanone || Ocimum tenuiflorum | aerial part | IMPHY003485 | Myrcene || Ocimum tenuiflorum | aerial part | IMPHY003536 | Eugenol || Ocimum tenuiflorum | aerial part | IMPHY003695 | (-)-Germacrene A || Ocimum tenuiflorum | aerial part | IMPHY003719 | beta-Copaene || Ocimum tenuiflorum | aerial part | IMPHY003798 | (Z)-alpha-Bisabolene || Ocimum tenuiflorum | aerial part | IMPHY003977 | (-)-beta-Bourbonene || Ocimum tenuiflorum | aerial part | IMPHY003982 | gamma-Terpinene || Ocimum tenuiflorum | aerial part | IMPHY004077 | Verbenone || Ocimum tenuiflorum | aerial part | IMPHY005345 | 1-Octen-3-OL || Ocimum tenuiflorum | aerial part | IMPHY005618 | Germacrene B || Ocimum tenuiflorum | aerial part | IMPHY006145 | p-Cymene || Ocimum tenuiflorum | aerial part | IMPHY006325 | Myrtenal || Ocimum tenuiflorum | aerial part | IMPHY006417 | 2,6-Dimethyl-2,4,6-octatriene || Ocimum tenuiflorum | aerial part | IMPHY006515 | Hedycaryol || Ocimum tenuiflorum | aerial part | IMPHY006550 | Thymol || Ocimum tenuiflorum | aerial part | IMPHY006696 | Methyleugenol || Ocimum tenuiflorum | aerial part | IMPHY006944 | Estragole || Ocimum tenuiflorum | aerial part | IMPHY006948 | beta-Terpineol || Ocimum tenuiflorum | aerial part | IMPHY006950 | Tricyclene || Ocimum tenuiflorum | aerial part | IMPHY006959 | Hydroquinone || Ocimum tenuiflorum | aerial part | IMPHY007041 | Furfural || Ocimum tenuiflorum | aerial part | IMPHY007376 | beta-Cubebene || Ocimum tenuiflorum | aerial part | IMPHY007840 | Spathulenol || Ocimum tenuiflorum | aerial part | IMPHY008451 | Isolongifolene || Ocimum tenuiflorum | aerial part | IMPHY009840 | Cyclosativene || Ocimum tenuiflorum | aerial part | IMPHY009874 | Myrtenyl acetate || Ocimum tenuiflorum | aerial part | IMPHY009946 | Benzaldehyde || Ocimum tenuiflorum | aerial part | IMPHY009961 | Ethyl isovalerate || Ocimum tenuiflorum | aerial part | IMPHY010072 | Eucalyptol || Ocimum tenuiflorum | aerial part | IMPHY010080 | beta-Elemene || Ocimum tenuiflorum | aerial part | IMPHY011004 | p-Mentha-1,3,8-triene || Ocimum tenuiflorum | aerial part | IMPHY011320 | (1R,4S)-1,6-dimethyl-4-propan-2-yl-1,2,3,4,4a,7-hexahydronaphthalene || Ocimum tenuiflorum | aerial part | IMPHY011396 | 4-Carvomenthenol || Ocimum tenuiflorum | aerial part | IMPHY011542 | beta-Eudesmol || Ocimum tenuiflorum | aerial part | IMPHY011552 | (1R)-2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene || Ocimum tenuiflorum | aerial part | IMPHY011562 | 2-Hexenal || Ocimum tenuiflorum | aerial part | IMPHY011564 | Germacra-1(10),5-dien-4-ol || Ocimum tenuiflorum | aerial part | IMPHY011581 | alpha-Selinene || Ocimum tenuiflorum | aerial part | IMPHY011586 | (S,1Z,6Z)-8-Isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene || Ocimum tenuiflorum | aerial part | IMPHY011588 | cis-3-Hexen-1-ol || Ocimum tenuiflorum | aerial part | IMPHY011590 | d-Borneol || Ocimum tenuiflorum | aerial part | IMPHY011599 | Terpinolene || Ocimum tenuiflorum | aerial part | IMPHY011643 | alpha-Terpinene || Ocimum tenuiflorum | aerial part | IMPHY011657 | cis-beta-Farnesene || Ocimum tenuiflorum | aerial part | IMPHY011658 | beta-Farnesene || Ocimum tenuiflorum | aerial part | IMPHY011659 | alpha-Muurolene || Ocimum tenuiflorum | aerial part | IMPHY011660 | (+)-alpha-Cadinene || Ocimum tenuiflorum | aerial part | IMPHY011761 | Humulene || Ocimum tenuiflorum | aerial part | IMPHY011763 | Anethole || Ocimum tenuiflorum | aerial part | IMPHY011789 | Citral || Ocimum tenuiflorum | aerial part | IMPHY011790 | Neral || Ocimum tenuiflorum | aerial part | IMPHY011792 | gamma-Muurolene || Ocimum tenuiflorum | aerial part | IMPHY011793 | (+)-gamma-Cadinene || Ocimum tenuiflorum | aerial part | IMPHY011890 | Elemol || Ocimum tenuiflorum | aerial part | IMPHY011894 | (-)-7-Epi-alpha-selinene || Ocimum tenuiflorum | aerial part | IMPHY011938 | gamma-Eudesmol || Ocimum tenuiflorum | aerial part | IMPHY011957 | (+)-delta-Cadinene || Ocimum tenuiflorum | aerial part | IMPHY012036 | Camphor || Ocimum tenuiflorum | aerial part | IMPHY012058 | Linalool || Ocimum tenuiflorum | aerial part | IMPHY012061 | alpha-Pinene || Ocimum tenuiflorum | aerial part | IMPHY012069 | Methyl isoeugenol || Ocimum tenuiflorum | aerial part | IMPHY012147 | beta-Pinene || Ocimum tenuiflorum | aerial part | IMPHY012160 | alpha-Terpineol || Ocimum tenuiflorum | aerial part | IMPHY012165 | Sabinene || Ocimum tenuiflorum | aerial part | IMPHY012178 | p-Menthan-3-one || Ocimum tenuiflorum | aerial part | IMPHY012261 | alpha-Bergamotene || Ocimum tenuiflorum | aerial part | IMPHY012586 | (-)-alpha-Cadinol || Ocimum tenuiflorum | aerial part | IMPHY012589 | 3-(1,5-Dimethyl-4-hexenyl)-6-methylene-1-cyclohexene || Ocimum tenuiflorum | aerial part | IMPHY012596 | Selin-11-en-4alpha-ol || Ocimum tenuiflorum | aerial part | IMPHY012654 | Nerol || Ocimum tenuiflorum | aerial part | IMPHY012665 | Levomenol || Ocimum tenuiflorum | aerial part | IMPHY012667 | Caryophyllene oxide || Ocimum tenuiflorum | aerial part | IMPHY012712 | Phytol || Ocimum tenuiflorum | aerial part | IMPHY012738 | Isocaryophyllene || Ocimum tenuiflorum | aerial part | IMPHY012739 | (Z)-beta-Ocimene || Ocimum tenuiflorum | aerial part | IMPHY012920 | 2-Furanmethanol, 5-ethenyltetrahydro-alpha,alpha,5-trimethyl-, cis- || Ocimum tenuiflorum | aerial part | IMPHY012921 | gamma-Elemene || Ocimum tenuiflorum | aerial part | IMPHY013093 | delta-Elemene || Ocimum tenuiflorum | aerial part | IMPHY013836 | Fenchone || Ocimum tenuiflorum | aerial part | IMPHY013971 | epi-Cubenol || Ocimum tenuiflorum | aerial part | IMPHY013972 | 1,10-Di-epcubenol || Ocimum tenuiflorum | aerial part | IMPHY014690 | (-)-Globulol || Ocimum tenuiflorum | aerial part | IMPHY014708 | beta-Selinene || Ocimum tenuiflorum | aerial part | IMPHY014801 | Zizanene || Ocimum tenuiflorum | aerial part | IMPHY014806 | Caswell No. 264AB || Ocimum tenuiflorum | aerial part | IMPHY014811 | alpha-Phellandrene || Ocimum tenuiflorum | aerial part | IMPHY014817 | Aromadendrene || Ocimum tenuiflorum | aerial part | IMPHY014831 | beta-Caryophyllene || Ocimum tenuiflorum | aerial part | IMPHY014835 | (E)-beta-ocimene || Ocimum tenuiflorum | aerial part | IMPHY014847 | Bornyl acetate || Ocimum tenuiflorum | aerial part | IMPHY014852 | Camphene || Ocimum tenuiflorum | aerial part | IMPHY014863 | cis-alpha-Bergamotene || Ocimum tenuiflorum | aerial part | IMPHY014865 | Calamenene || Ocimum tenuiflorum | aerial part | IMPHY014874 | cis-Sabinene hydrate || Ocimum tenuiflorum | aerial part | IMPHY014885 | 1-Isopropyl-4,7-dimethyl-1,3,4,5,6,8a-hexahydro-4a(2H)-naphthalenol || Ocimum tenuiflorum | aerial part | IMPHY014906 | Cedrelanol || Ocimum tenuiflorum | aerial part | IMPHY014923 | Geraniol || Ocimum tenuiflorum | aerial part | IMPHY014988 | Limonene || Ocimum tenuiflorum | aerial part | IMPHY015003 | Menthol || Ocimum tenuiflorum | aerial part | IMPHY015011 | Methylisoeugenol || Ocimum tenuiflorum | aerial part | IMPHY015016 | alpha-Muurolol || Ocimum tenuiflorum | aerial part | IMPHY015022 | Nerolidol || Ocimum tenuiflorum | aerial part | IMPHY015123 | alpha-Copaene || Ocimum tenuiflorum | aerial part | IMPHY015128 | T-Muurolol || Ocimum tenuiflorum | aerial part | IMPHY016027 | trans-Sabinene hydrate || Ocimum tenuiflorum | aerial part | IMPHY016053 | Viridiflorol || Ocimum tenuiflorum | flower | IMPHY003525 | Nonanal || Ocimum tenuiflorum | flower | IMPHY003537 | Tetradecanal || Ocimum tenuiflorum | flower | IMPHY003616 | Bicyclogermacrene || Ocimum tenuiflorum | flower | IMPHY003807 | (E)-alpha-bisabolene || Ocimum tenuiflorum | flower | IMPHY003822 | Cubebol || Ocimum tenuiflorum | flower | IMPHY004151 | Geranyl formate || Ocimum tenuiflorum | flower | IMPHY004184 | Cinnamyl acetate || Ocimum tenuiflorum | flower | IMPHY005390 | 1-Octen-3-yl acetate || Ocimum tenuiflorum | flower | IMPHY006177 | Methyl geranate || Ocimum tenuiflorum | flower | IMPHY007067 | Linalyl acetate || Ocimum tenuiflorum | flower | IMPHY007124 | Delphinidin || Ocimum tenuiflorum | flower | IMPHY007214 | Octyl acetate || Ocimum tenuiflorum | flower | IMPHY007331 | 6-Methyl-5-hepten-2-one || Ocimum tenuiflorum | flower | IMPHY007366 | alpha-Santalene || Ocimum tenuiflorum | flower | IMPHY007421 | Citronellyl acetate || Ocimum tenuiflorum | flower | IMPHY007528 | Cadinane || Ocimum tenuiflorum | flower | IMPHY007620 | 1-Octanol || Ocimum tenuiflorum | flower | IMPHY008936 | alpha-Guaiene || Ocimum tenuiflorum | flower | IMPHY008946 | delta-Guaiene || Ocimum tenuiflorum | flower | IMPHY009757 | 6,6-Dimethyl-2-methylenebicyclo[3.1.1]hept-3-yl acetate || Ocimum tenuiflorum | flower | IMPHY010015 | epi-Longipinanol || Ocimum tenuiflorum | flower | IMPHY011451 | cis-2-Pinanol || Ocimum tenuiflorum | flower | IMPHY011631 | (E,Z)-farnesol || Ocimum tenuiflorum | flower | IMPHY011647 | Geranyl acetate || Ocimum tenuiflorum | flower | IMPHY011648 | Neryl acetate || Ocimum tenuiflorum | flower | IMPHY011709 | alpha-Eudesmol || Ocimum tenuiflorum | flower | IMPHY011749 | Humulene epoxide II || Ocimum tenuiflorum | flower | IMPHY012086 | Citronellal || Ocimum tenuiflorum | flower | IMPHY012104 | Citronellol || Ocimum tenuiflorum | flower | IMPHY012737 | (1S,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene || Ocimum tenuiflorum | flower | IMPHY013133 | (Z)-p-Menth-2-en-1-ol || Ocimum tenuiflorum | flower | IMPHY014870 | cis-Muurola-4(14),5-diene || Ocimum tenuiflorum | flower | IMPHY014876 | 7-epi-cis-Sesquisabinene hydrate || Ocimum tenuiflorum | flower | IMPHY014989 | trans-Linalool oxide || Ocimum tenuiflorum | flower | IMPHY015095 | 2-Cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, trans- || Ocimum tenuiflorum | flower | IMPHY015168 | 14-Hydroxy-alpha-humulene || Ocimum tenuiflorum | flower | IMPHY015210 | 2,2-Dimethyl-3,4-octadienal || Ocimum tenuiflorum | flower | IMPHY016015 | Oct-3-en-1-ol || Ocimum tenuiflorum | flower | IMPHY016054 | trans-alpha-Bergamotene || Ocimum tenuiflorum | leaf | IMPHY000596 | Samaderine E || Ocimum tenuiflorum | leaf | IMPHY001246 | Carvacrol || Ocimum tenuiflorum | leaf | IMPHY001931 | Vanillin || Ocimum tenuiflorum | leaf | IMPHY002939 | Ethyl 2-methylbutyrate || Ocimum tenuiflorum | leaf | IMPHY003490 | Coumarin || Ocimum tenuiflorum | leaf | IMPHY003956 | (+)-gamma-Gurjunene || Ocimum tenuiflorum | leaf | IMPHY004135 | Cyclohexene, 6-ethenyl-6-methyl-1-(1-methylethyl)-3-(1-methylethylidene)-, (S)- || Ocimum tenuiflorum | leaf | IMPHY004249 | Unii-CQ2F5O6yiy || Ocimum tenuiflorum | leaf | IMPHY004372 | Selina-4(15),7(11)-diene || Ocimum tenuiflorum | leaf | IMPHY004388 | Kaempferol || Ocimum tenuiflorum | leaf | IMPHY004597 | Rosmarinic acid || Ocimum tenuiflorum | leaf | IMPHY004619 | Quercetin || Ocimum tenuiflorum | leaf | IMPHY004660 | Luteolin || Ocimum tenuiflorum | leaf | IMPHY004661 | Apigenin || Ocimum tenuiflorum | leaf | IMPHY004749 | 2-(3,4-dihydroxyphenyl)-7-hydroxy-5-[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one || Ocimum tenuiflorum | leaf | IMPHY004783 | Molludistin || Ocimum tenuiflorum | leaf | IMPHY005371 | Cirsilineol || Ocimum tenuiflorum | leaf | IMPHY005455 | Orientin || Ocimum tenuiflorum | leaf | IMPHY005709 | Eupalitin || Ocimum tenuiflorum | leaf | IMPHY005940 | Thunbergol || Ocimum tenuiflorum | leaf | IMPHY006362 | Ascorbic acid || Ocimum tenuiflorum | leaf | IMPHY006970 | Decanal || Ocimum tenuiflorum | leaf | IMPHY007084 | Vanillic acid || Ocimum tenuiflorum | leaf | IMPHY007228 | Terminoloside || Ocimum tenuiflorum | leaf | IMPHY007317 | 4-Allylphenol || Ocimum tenuiflorum | leaf | IMPHY009356 | 4-Hydroxybenzaldehyde || Ocimum tenuiflorum | leaf | IMPHY010083 | 4-Hydroxybenzoic acid || Ocimum tenuiflorum | leaf | IMPHY011632 | Farnesol || Ocimum tenuiflorum | leaf | IMPHY011646 | Cynaroside || Ocimum tenuiflorum | leaf | IMPHY011692 | trans-3-Hexen-1-ol || Ocimum tenuiflorum | leaf | IMPHY011707 | beta-Carotene || Ocimum tenuiflorum | leaf | IMPHY011710 | Apigenin-7-o-glucuronide || Ocimum tenuiflorum | leaf | IMPHY011714 | Methyl cinnamate || Ocimum tenuiflorum | leaf | IMPHY011844 | Chlorogenic acid || Ocimum tenuiflorum | leaf | IMPHY011880 | Ursolic acid || Ocimum tenuiflorum | leaf | IMPHY011883 | 3,4-Dihydroxybenzoic acid || Ocimum tenuiflorum | leaf | IMPHY011896 | Valencene || Ocimum tenuiflorum | leaf | IMPHY011933 | Caffeic acid || Ocimum tenuiflorum | leaf | IMPHY012021 | Gallic acid || Ocimum tenuiflorum | leaf | IMPHY012289 | epi-Globulol || Ocimum tenuiflorum | leaf | IMPHY012402 | Campesterol || Ocimum tenuiflorum | leaf | IMPHY012550 | Vicenin-2 || Ocimum tenuiflorum | leaf | IMPHY012587 | tau-Cadinol || Ocimum tenuiflorum | leaf | IMPHY013339 | ocimumoside A || Ocimum tenuiflorum | leaf | IMPHY013340 | ocimumoside B || Ocimum tenuiflorum | leaf | IMPHY013552 | Stenocereol || Ocimum tenuiflorum | leaf | IMPHY013796 | Tetratetracontane || Ocimum tenuiflorum | leaf | IMPHY014836 | beta-Sitosterol || Ocimum tenuiflorum | leaf | IMPHY014838 | Daucosterol || Ocimum tenuiflorum | leaf | IMPHY014842 | Stigmasterol || Ocimum tenuiflorum | leaf | IMPHY014854 | Cianidanol || Ocimum tenuiflorum | leaf | IMPHY014877 | (S)-cis-Verbenol || Ocimum tenuiflorum | leaf | IMPHY014908 | (-)-Epicatechin || Ocimum tenuiflorum | leaf | IMPHY014986 | Ledol || Ocimum tenuiflorum | leaf | IMPHY015047 | Rutin || Ocimum tenuiflorum | leaf | IMPHY015098 | trans-Verbenol || Ocimum tenuiflorum | seed | IMPHY004631 | Stearic acid || Ocimum tenuiflorum | seed | IMPHY007327 | Palmitic acid || Ocimum tenuiflorum | seed | IMPHY011797 | Oleic acid || Ocimum tenuiflorum | seed | IMPHY012723 | Linolenic acid || Ocimum tenuiflorum | seed | IMPHY014990 | Linoleic acid || Ocimum tenuiflorum | whole plant | IMPHY002913 | Sesquisabinene || Ocimum tenuiflorum | whole plant | IMPHY004281 | Guaiol || Ocimum tenuiflorum | whole plant | IMPHY006404 | Damascenone || Ocimum tenuiflorum | whole plant | IMPHY006709 | Acetyleugenol || Ocimum tenuiflorum | whole plant | IMPHY006965 | alpha,alpha-Dimethyl-4-methylenecyclohexanemethanol || Ocimum tenuiflorum | whole plant | IMPHY009709 | Salvial-4(14)-en-1-one || Ocimum tenuiflorum | whole plant | IMPHY009743 | beta-Gurjunene || Ocimum tenuiflorum | whole plant | IMPHY010585 | (1aR,7R,7aR,7bS)-1,1,7,7a-tetramethyl-2,3,5,6,7,7b-hexahydro-1aH-cyclopropa[a]naphthalene || Ocimum tenuiflorum | whole plant | IMPHY010603 | beta-Cadinene || Ocimum tenuiflorum | whole plant | IMPHY011455 | Cadina-1,4-diene || Ocimum tenuiflorum | whole plant | IMPHY011484 | (+)-delta-Selinene || Ocimum tenuiflorum | whole plant | IMPHY011568 | alpha-Fenchyl acetate || Ocimum tenuiflorum | whole plant | IMPHY011609 | alpha-Carotene || Ocimum tenuiflorum | whole plant | IMPHY011667 | alpha-Gurjunene || Ocimum tenuiflorum | whole plant | IMPHY011811 | (Z)-Methyl cinnamate || Ocimum tenuiflorum | whole plant | IMPHY011817 | alpha-Farnesene || Ocimum tenuiflorum | whole plant | IMPHY011839 | (Z)-gamma-bisabolene || Ocimum tenuiflorum | whole plant | IMPHY011901 | Thujone || Ocimum tenuiflorum | whole plant | IMPHY011939 | 10-epi-gamma-Eudesmol || Ocimum tenuiflorum | whole plant | IMPHY011988 | (-)-trans-Carveol || Ocimum tenuiflorum | whole plant | IMPHY012075 | Carvone || Ocimum tenuiflorum | whole plant | IMPHY012279 | alpha-Curcumene || Ocimum tenuiflorum | whole plant | IMPHY014884 | Cubebene || Ocimum tenuiflorum | whole plant | IMPHY014914 | Fenchol || Ocimum tenuiflorum | whole plant | IMPHY014942 | Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, formate, (1R,2R,4R)-rel- || Ocimum tenuiflorum | whole plant | IMPHY016012 | Allo-Aromadendrene || Ocimum tenuiflorum |  | IMPHY002814 | Stigmasterone || Ocimum tenuiflorum |  | IMPHY003500 | Citric acid || Ocimum tenuiflorum |  | IMPHY003657 | Asiatic acid || Ocimum tenuiflorum |  | IMPHY003999 | d-Tartaric acid || Ocimum tenuiflorum |  | IMPHY006251 | Guaiacylglycerol-beta-guaiacyl ether || Ocimum tenuiflorum |  | IMPHY007182 | 1-Tetradecanol || Ocimum tenuiflorum |  | IMPHY007202 | Nonane || Ocimum tenuiflorum |  | IMPHY007291 | Heptane || Ocimum tenuiflorum |  | IMPHY011826 | Oleanolic acid || Ocimum tenuiflorum |  | IMPHY011873 | Humulene epoxide || Ocimum tenuiflorum |  | IMPHY011965 | (+)-beta-Phellandrene || Ocimum tenuiflorum |  | IMPHY012003 | Betulinic acid || Ocimum tenuiflorum |  | IMPHY012227 | Madecassic acid || Ocimum tenuiflorum |  | IMPHY014662 | 1-Cyclohexyl-11-heneicosanone"
